fips,heart_disease_death_rate,stroke_death_rate,diabetes_prevalence_pct
13141,395.2,83.3,18.3
13143,500.5,104.0,11.0
13145,303.0,80.9,9.9
13147,380.1,80.4,11.9
13149,396.6,96.2,11.9
13151,360.7,88.1,12.4
13153,415.0,81.7,12.2
13155,474.5,93.3,13.5
13157,392.9,87.6,10.4
13159,365.7,98.7,12.1
13161,498.3,92.1,14.4
13163,498.3,100.8,15.5
13165,361.0,91.6,16.3
13167,451.7,93.3,15.3
13169,347.8,82.9,12.0
13171,411.8,99.9,12.1
13173,360.4,92.3,14.6
13175,455.1,94.5,13.9
13177,432.8,107.7,10.7
13179,359.0,81.4,13.9
13181,323.5,78.2,13.2
13183,325.3,73.6,13.0
13185,376.0,92.5,13.4
13187,318.3,78.9,10.8
13189,455.2,95.9,13.8
13191,298.6,69.8,14.5
13193,440.8,85.3,18.5
13195,391.0,82.8,12.4
13197,455.2,91.8,14.3
13199,503.5,103.2,14.0
13201,451.7,101.2,13.9
13205,374.6,106.3,15.6
13207,348.6,81.4,10.9
13209,384.7,110.2,13.5
13211,359.8,78.4,10.1
13213,404.6,87.4,11.6
13215,498.2,106.4,14.1
13217,369.4,104.6,13.3
13219,309.0,77.6,8.3
13221,346.3,79.5,11.4
13223,352.5,114.0,10.9
13225,456.7,88.3,13.4
13227,369.8,75.7,10.3
13229,460.5,95.3,12.1
13231,329.4,99.7,10.2
13233,541.9,105.7,12.5
13235,409.2,80.9,13.8
13237,381.9,84.1,12.7
13239,437.1,95.5,16.0
13241,318.3,92.2,10.9
