fips,lung_cancer_death_rate,lung_cancer_avg_annual_count
42053,51.0,6
29085,51.0,8
21103,50.9,12
45067,50.9,22
47161,50.9,11
37033,50.8,20
48231,50.8,66
18153,50.8,15
21231,50.8,16
18101,50.8,8
48161,50.8,15
47147,50.8,45
40009,50.7,13
40049,50.7,18
28091,50.7,17
13319,50.7,7
20099,50.7,16
26071,50.7,13
47059,50.7,60
29099,50.6,146
54063,50.6,12
20001,50.6,10
13025,50.6,13
39015,50.5,33
05053,50.5,13
40003,50.5,4
05059,50.5,25
51027,50.5,17
21213,50.5,13
22109,50.5,64
48035,50.4,18
51187,50.4,27
47185,50.4,21
17171,50.3,4
22039,50.3,20
54081,50.3,58
54001,50.2,12
48363,50.2,22
21141,50.2,20
28079,50.2,14
26059,50.2,36
22119,50.2,28
45021,50.2,38
21091,50.2,7
18077,50.2,24
13279,50.1,18
47027,50.1,7
48237,50.1,5
28033,50.1,97
19145,50.1,13
05001,50.1,13
13229,50.0,13
48419,50.0,17
37047,49.9,39
51169,49.9,20
48365,49.9,17
21049,49.9,26
54107,49.9,65
54029,49.9,25
29111,49.9,7
26033,49.8,25
37157,49.8,73
29083,49.8,19
29017,49.8,9
13209,49.8,6
24011,49.8,22
18109,49.8,50
47063,49.7,44
29005,49.7,5
28149,49.7,31
13299,49.6,23
05069,49.6,46
51017,49.6,4
37027,49.6,63
18019,49.6,78
40045,49.6,3
39105,49.6,17
28109,49.6,41
29059,49.5,13
18161,49.5,5
29135,49.5,10
13149,49.4,8
51029,49.4,12
18135,49.4,18
47141,49.3,50
05009,49.3,29
18083,49.3,25
13173,49.3,6
39081,49.3,52
47089,49.3,43
19115,49.2,8
12003,49.2,16
28047,49.2,129
40051,49.2,36
48343,49.2,10
40019,49.2,31
21225,49.2,10
13081,49.2,15
13195,49.1,21
12129,49.1,22
23029,49.1,27
21123,49.1,10
21007,49.1,6
28145,49.1,18
05107,49.1,12
13129,49.1,36
47091,49.1,15
01067,49.1,15
20043,49.1,6
51051,49.0,12
01093,49.0,23
39117,49.0,25
02050,49.0,4
29117,49.0,11
01015,48.9,78
05091,48.9,28
17157,48.9,24
48277,48.9,36
27167,48.8,5
05023,48.8,24
40013,48.8,30
47055,48.8,24
01027,48.8,11
05005,48.8,44
30041,48.8,9
21227,48.8,69
13065,48.7,4
17041,48.7,13
13099,48.7,7
47163,48.7,127
39115,48.7,12
19087,48.7,15
12079,48.6,15
47099,48.6,30
17181,48.6,14
27117,48.6,7
54015,48.6,6
18113,48.6,29
54009,48.6,19
48315,48.5,10
12063,48.5,36
47015,48.5,9
29185,48.5,9
17115,48.5,76
48411,48.5,4
05103,48.4,17
20027,48.4,7
22011,48.4,22
48147,48.4,25
37151,48.4,99
37057,48.4,119
28017,48.4,12
18095,48.4,89
36073,48.4,28
17095,48.3,39
18145,48.3,31
47171,48.3,15
13233,48.3,25
22083,48.3,13
23021,48.3,15
22025,48.2,6
19179,48.2,23
40103,48.2,8
17159,48.2,12
21019,48.2,35
18029,48.2,35
37191,48.2,74
01021,48.1,29
13305,48.1,19
05141,48.1,15
22027,48.1,11
26095,48.1,5
12017,48.1,180
37197,48.1,28
01053,48.0,25
38005,48.0,3
29053,48.0,11
48051,47.9,14
17101,47.9,10
48459,47.9,28
51770,47.9,63
29089,47.9,7
