tract_fips,food_insecurity_pct,housing_insecurity_pct,transportation_barrier_pct,uninsured_pct,depression_pct,RPL_THEMES,RPL_THEME1,RPL_THEME2,RPL_THEME3,RPL_THEME4,E_TOTPOP,E_POV150,E_UNEMP,E_HBURD,E_UNINSUR,E_NOHSDP,food_insecurity_pct_pctile,housing_insecurity_pct_pctile,transportation_barrier_pct_pctile,uninsured_pct_pctile,depression_pct_pctile,RPL_THEMES_pctile,neonatal_risk_proxy_score
45019002107,10.0,9.2,5.8,8.8,22.5,0.295,0.3371,0.0536,0.4587,0.6159,11193,1339,151,895,1380,509,0.42857142857142855,0.45918367346938777,0.413265306122449,0.5204081632653061,0.8112244897959183,0.4387755102040816,0.511904761904762
45019002900,11.0,9.5,6.3,8.3,22.4,0.2612,0.4522,0.3612,0.4117,0.1082,2511,557,24,349,229,155,0.4744897959183674,0.47959183673469385,0.4846938775510204,0.45918367346938777,0.7806122448979592,0.3877551020408163,0.5110544217687075
45019002300,14.0,10.0,6.9,9.0,19.0,0.5869,0.7929,0.4101,0.467,0.3366,1623,473,83,183,219,138,0.6122448979591837,0.5510204081632653,0.5714285714285714,0.5459183673469388,0.08163265306122448,0.6938775510204082,0.5093537414965986
45019002108,12.9,10.1,6.4,11.8,20.6,0.1676,0.3107,0.4098,0.3026,0.0713,1869,224,0,58,254,230,0.576530612244898,0.5714285714285714,0.5204081632653061,0.7244897959183674,0.3163265306122449,0.3163265306122449,0.5042517006802721
45019005001,13.5,10.9,7.0,8.3,19.4,0.4754,0.6856,0.1069,0.5815,0.4347,1396,168,100,153,163,129,0.6020408163265306,0.5969387755102041,0.5867346938775511,0.45918367346938777,0.11734693877551021,0.6428571428571429,0.5008503401360545
45019002611,9.0,8.4,5.4,7.7,22.5,0.3764,0.4184,0.1224,0.3908,0.6121,2906,309,87,534,224,45,0.3877551020408163,0.4336734693877551,0.3877551020408163,0.3826530612244898,0.8112244897959183,0.5510204081632653,0.49234693877551017
45019002103,12.5,9.8,6.4,10.2,19.3,0.4752,0.5637,0.1934,0.4684,0.5542,3790,870,63,423,322,342,0.5510204081632653,0.5255102040816326,0.5204081632653061,0.5918367346938775,0.10204081632653061,0.6326530612244898,0.48724489795918363
45019002200,12.2,10.0,6.3,8.3,18.0,0.6615,0.7016,0.4165,0.6257,0.627,2302,404,88,230,300,259,0.5357142857142857,0.5510204081632653,0.4846938775510204,0.45918367346938777,0.04081632653061224,0.7755102040816326,0.4744897959183673
45019002008,10.2,8.4,5.8,8.5,20.8,0.5478,0.4648,0.2238,0.5136,0.82,4356,754,69,594,399,154,0.4387755102040816,0.4336734693877551,0.413265306122449,0.4846938775510204,0.3877551020408163,0.673469387755102,0.471938775510204
45019005100,10.4,8.0,5.9,7.9,21.1,0.4537,0.6306,0.4025,0.4207,0.2668,1420,275,67,274,104,58,0.4489795918367347,0.40816326530612246,0.42857142857142855,0.41836734693877553,0.4846938775510204,0.6020408163265306,0.4651360544217687
45019001500,11.4,10.0,6.4,8.5,20.9,0.1026,0.2504,0.0093,0.575,0.3344,1450,163,20,180,49,86,0.5102040816326531,0.5510204081632653,0.5204081632653061,0.4846938775510204,0.42346938775510207,0.23469387755102042,0.45408163265306123
45019000100,9.6,7.4,5.6,7.6,22.4,0.2873,0.4527,0.1967,0.2187,0.3032,1912,325,64,257,89,61,0.413265306122449,0.32653061224489793,0.3979591836734694,0.3520408163265306,0.7806122448979592,0.41836734693877553,0.4481292517006803
45019002009,11.0,9.5,6.0,8.0,20.2,0.3642,0.391,0.4731,0.6398,0.2319,5005,486,200,691,231,121,0.4744897959183674,0.47959183673469385,0.44387755102040816,0.4387755102040816,0.2653061224489796,0.5306122448979592,0.4387755102040816
45019004607,8.4,7.0,5.1,7.9,22.5,0.2954,0.4194,0.0814,0.1269,0.5668,5515,912,38,881,531,277,0.32142857142857145,0.2755102040816326,0.336734693877551,0.41836734693877553,0.8112244897959183,0.4489795918367347,0.43537414965986393
45019004612,8.2,7.2,5.0,7.5,22.9,0.2933,0.6173,0.0935,0.2713,0.2209,7914,1426,386,1410,498,309,0.3010204081632653,0.3112244897959184,0.3112244897959184,0.33163265306122447,0.8622448979591837,0.42857142857142855,0.4243197278911564
45019004609,9.6,8.1,5.2,7.7,20.7,0.4216,0.4065,0.4435,0.3528,0.4842,9147,1088,441,1163,149,304,0.413265306122449,0.41836734693877553,0.3673469387755102,0.3826530612244898,0.3520408163265306,0.5918367346938775,0.42091836734693877
45019005900,8.8,7.8,6.1,7.9,21.7,0.1294,0.2514,0.0274,0.4536,0.3205,6633,335,97,488,256,129,0.3673469387755102,0.39285714285714285,0.45918367346938777,0.41836734693877553,0.6173469387755102,0.2653061224489796,0.4200680272108844
45019002002,8.6,7.7,5.1,7.7,22.7,0.1124,0.2008,0.06,0.3042,0.2587,6066,562,28,540,463,205,0.336734693877551,0.3622448979591837,0.336734693877551,0.3826530612244898,0.8367346938775511,0.25510204081632654,0.4183673469387756
45019000600,8.4,6.8,6.0,7.0,25.9,0.0837,0.3488,0.001,0.1844,0.5115,1065,285,16,173,38,18,0.32142857142857145,0.25,0.44387755102040816,0.28061224489795916,0.9693877551020408,0.22448979591836735,0.41496598639455784
45019001901,9.0,7.7,5.2,7.6,22.2,0.103,0.3428,0.0393,0.3546,0.1235,4575,747,36,359,720,179,0.3877551020408163,0.3622448979591837,0.3673469387755102,0.3520408163265306,0.7346938775510204,0.24489795918367346,0.4081632653061224
45019005702,8.7,7.5,5.2,7.0,21.8,0.2649,0.3573,0.0889,0.3546,0.4533,4018,708,121,493,115,43,0.3520408163265306,0.336734693877551,0.3673469387755102,0.28061224489795916,0.6377551020408163,0.3979591836734694,0.3954081632653061
45019004702,7.6,7.2,4.7,7.4,22.2,0.1967,0.2543,0.1041,0.1825,0.4388,1896,279,8,259,170,0,0.2653061224489796,0.3112244897959184,0.2755102040816326,0.3112244897959184,0.7346938775510204,0.3469387755102041,0.3741496598639456
45019002006,9.0,7.7,5.0,7.7,20.8,0.238,0.0875,0.288,0.4348,0.5598,5085,585,54,315,70,152,0.3877551020408163,0.3622448979591837,0.3112244897959184,0.3826530612244898,0.3877551020408163,0.35714285714285715,0.364795918367347
