tract_fips,uninsured_pct,high_blood_pressure_pct,coronary_heart_disease_pct,smoking_pct,depression_pct,diabetes_pct,food_insecurity_pct,fair_poor_health_pct,housing_insecurity_pct,transportation_barrier_pct,loneliness_pct,physical_inactivity_pct,mental_distress_pct,obesity_pct,utility_shutoff_threat_pct,stroke_pct,RPL_THEMES,RPL_THEME1,RPL_THEME2,RPL_THEME3,RPL_THEME4,E_TOTPOP,E_POV150,E_UNEMP,E_HBURD,E_UNINSUR,E_NOHSDP
45019004620,6.8,31.2,5.9,8.1,21.3,9.9,7.2,12.5,6.1,4.4,26.8,17.0,12.5,25.9,4.1,3.0,0.3635,0.6412,0.0892,0.1372,0.4261,4601,880,181,782,365,175
45019004621,6.1,28.8,4.9,6.9,21.2,8.9,6.2,10.7,5.5,3.9,27.0,14.3,12.2,24.9,3.6,2.5,0.2843,0.1097,0.5897,0.0821,0.5928,5422,367,53,465,213,131
45019004622,6.2,34.3,6.3,7.0,19.4,11.0,6.7,12.3,5.7,4.1,25.9,16.8,11.2,26.0,3.9,3.3,0.2589,0.1552,0.2066,0.2044,0.6641,5223,602,65,541,75,107
45019004701,5.5,28.0,4.5,6.9,21.1,8.5,5.6,10.1,5.3,3.6,25.8,13.7,11.9,25.4,3.6,2.4,0.0228,0.1277,0.0479,0.1808,0.0567,6617,250,114,443,540,92
45019004702,7.4,27.4,4.4,8.5,22.2,8.8,7.6,11.4,7.2,4.7,27.9,15.7,13.7,27.4,4.7,2.4,0.1967,0.2543,0.1041,0.1825,0.4388,1896,279,8,259,170,0
45019004800,4.3,31.9,5.6,5.7,19.6,9.8,4.2,9.9,3.8,3.0,23.4,13.2,10.1,24.8,2.8,2.7,0.0096,0.0229,0.0983,0.0294,0.0535,2317,250,19,106,32,0
45019004901,4.8,33.3,6.0,6.8,19.8,10.4,4.8,10.8,4.3,3.2,24.2,14.7,10.7,25.2,3.0,3.0,0.0095,0.0591,0.0349,0.0096,0.0795,1859,101,0,141,122,0
45019004902,4.0,35.5,6.5,5.6,18.9,11.0,3.8,10.2,3.4,2.7,23.1,13.9,9.6,24.2,2.4,3.1,0.005,0.0069,0.062,0.0594,0.0613,2488,106,14,90,58,9
45019005001,8.3,40.1,6.8,11.2,19.4,15.1,13.5,17.6,10.9,7.0,29.6,22.6,13.6,32.6,7.4,4.3,0.4754,0.6856,0.1069,0.5815,0.4347,1396,168,100,153,163,129
45019005002,10.6,45.2,8.5,13.6,19.2,18.5,18.7,22.1,13.8,9.0,30.3,27.8,14.3,35.6,10.0,5.5,0.5655,0.6453,0.3929,0.7041,0.4142,3401,1179,58,317,169,405
45019005100,7.9,34.9,6.6,8.7,21.1,12.3,10.4,15.0,8.0,5.9,28.4,19.2,13.3,28.2,5.6,3.6,0.4537,0.6306,0.4025,0.4207,0.2668,1420,275,67,274,104,58
45019005300,12.7,35.9,5.7,14.3,22.8,14.8,25.2,21.9,18.7,12.9,34.3,27.2,18.4,36.8,14.1,4.3,0.7254,0.7469,0.1606,0.7011,0.8841,3644,1522,226,610,220,172
45019005400,14.3,35.3,5.2,14.9,22.1,14.3,30.8,23.6,23.2,15.6,37.2,28.9,19.5,37.9,17.0,4.2,0.796,0.7034,0.3172,0.8413,0.9431,2482,966,38,394,69,264
45019005500,20.6,47.7,9.2,24.4,21.9,23.6,47.2,36.9,33.2,23.6,37.1,41.1,21.1,46.4,27.3,7.2,0.9101,0.9792,0.3926,0.8131,0.8724,1521,674,76,298,312,319
45019005601,7.5,25.1,3.7,7.7,21.2,7.7,8.2,10.6,7.7,4.9,29.5,15.0,13.6,26.0,4.9,2.1,0.1845,0.1514,0.0695,0.4856,0.5078,9135,640,46,1133,407,164
45019005602,8.8,27.7,4.5,10.0,22.9,9.3,11.3,13.5,9.7,6.5,30.3,18.3,15.3,28.9,6.5,2.6,0.368,0.3662,0.2245,0.4452,0.5255,6275,1269,57,923,457,79
45019005701,6.7,32.3,5.7,8.7,20.9,10.7,7.4,12.5,6.6,4.4,27.0,17.2,12.7,27.2,4.4,3.0,0.0332,0.1774,0.1213,0.2787,0.0181,5501,481,115,333,358,76
45019005702,7.0,27.8,4.4,8.5,21.8,9.1,8.7,12.0,7.5,5.2,28.3,16.5,13.6,27.2,5.1,2.5,0.2649,0.3573,0.0889,0.3546,0.4533,4018,708,121,493,115,43
45019005800,9.0,30.2,4.9,10.5,22.2,10.5,11.8,14.5,9.8,6.5,29.4,19.5,14.7,29.7,6.7,2.9,0.2386,0.2453,0.2251,0.5518,0.2922,8400,1150,121,713,514,243
45019005900,7.9,20.8,2.9,7.3,21.7,6.4,8.8,10.5,7.8,6.1,33.8,13.9,15.9,24.0,4.9,1.9,0.1294,0.2514,0.0274,0.4536,0.3205,6633,335,97,488,256,129
