year,stateabbr,statedesc,countyname,countyfips,locationname,datasource,category,measure,data_value_unit,data_value_type,data_value,low_confidence_limit,high_confidence_limit,totalpopulation,totalpop18plus,geolocation,locationid,categoryid,measureid,datavaluetypeid,short_question_text,tract_fips
2023,SC,South Carolina,Charleston,45019,45019004000,BRFSS,Prevention,Taking medicine to control high blood pressure among adults with high blood pressure,%,Crude prevalence,83.1,81.0,85.2,2411,1799,"{'type': 'Point', 'coordinates': [-79.9893873, 32.8453153]}",45019004000,PREVENT,BPMED,CrdPrv,High Blood Pressure Medication,45019004000
2023,SC,South Carolina,Charleston,45019,45019004607,BRFSS,Health Outcomes,Diagnosed diabetes among adults,%,Crude prevalence,9.5,8.2,11.0,5719,4865,"{'type': 'Point', 'coordinates': [-79.8922487, 32.7958351]}",45019004607,HLTHOUT,DIABETES,CrdPrv,Diabetes,45019004607
2022,SC,South Carolina,Charleston,45019,45019002008,BRFSS,Prevention,Mammography use among women aged 50-74 years,%,Crude prevalence,78.2,72.3,83.1,4703,4217,"{'type': 'Point', 'coordinates': [-79.9828216, 32.6768775]}",45019002008,PREVENT,MAMMOUSE,CrdPrv,Mammography,45019002008
2022,SC,South Carolina,Charleston,45019,45019000600,BRFSS,Health Risk Behaviors,Short sleep duration among adults,%,Crude prevalence,26.1,22.8,29.6,1074,1033,"{'type': 'Point', 'coordinates': [-79.9510689, 32.785061]}",45019000600,RISKBEH,SLEEP,CrdPrv,Short Sleep Duration,45019000600
2023,SC,South Carolina,Charleston,45019,45019002103,BRFSS,Disability,Vision disability among adults,%,Crude prevalence,4.8,4.1,5.7,4771,3912,"{'type': 'Point', 'coordinates': [-80.0718045, 32.6727041]}",45019002103,DISABLT,VISION,CrdPrv,Vision Disability,45019002103
2023,SC,South Carolina,Charleston,45019,45019002802,BRFSS,Health Outcomes,Depression among adults,%,Crude prevalence,21.2,18.5,24.2,2663,2190,"{'type': 'Point', 'coordinates': [-80.0035774, 32.774876]}",45019002802,HLTHOUT,DEPRESSION,CrdPrv,Depression,45019002802
2023,SC,South Carolina,Charleston,45019,45019003700,BRFSS,Disability,Hearing disability among adults,%,Crude prevalence,5.8,5.1,6.6,3291,2510,"{'type': 'Point', 'coordinates': [-79.9825338, 32.8671057]}",45019003700,DISABLT,HEARING,CrdPrv,Hearing Disability,45019003700
2023,SC,South Carolina,Charleston,45019,45019002105,BRFSS,Health Outcomes,Arthritis among adults,%,Crude prevalence,38.5,34.8,41.9,2184,2106,"{'type': 'Point', 'coordinates': [-80.1681457, 32.5818931]}",45019002105,HLTHOUT,ARTHRITIS,CrdPrv,Arthritis,45019002105
2023,SC,South Carolina,Charleston,45019,45019001100,BRFSS,Prevention,Visits to doctor for routine checkup within the past year among adults,%,Crude prevalence,75.3,71.9,78.4,2988,2500,"{'type': 'Point', 'coordinates': [-79.9565809, 32.7905077]}",45019001100,PREVENT,CHECKUP,CrdPrv,Annual Checkup,45019001100
2023,SC,South Carolina,Charleston,45019,45019002200,BRFSS,Health Outcomes,Current asthma among adults,%,Crude prevalence,8.9,7.8,10.0,2848,2413,"{'type': 'Point', 'coordinates': [-80.1839478, 32.6576817]}",45019002200,HLTHOUT,CASTHMA,CrdPrv,Current Asthma,45019002200
2023,SC,South Carolina,Charleston,45019,45019003106,BRFSS,Health Outcomes,High blood pressure among adults,%,Crude prevalence,36.2,33.2,39.1,8631,6451,"{'type': 'Point', 'coordinates': [-80.1401076, 33.0022955]}",45019003106,HLTHOUT,BPHIGH,CrdPrv,High Blood Pressure,45019003106
2023,SC,South Carolina,Charleston,45019,45019001000,BRFSS,Health Risk Behaviors,No leisure-time physical activity among adults,%,Crude prevalence,19.3,15.3,24.6,2331,2112,"{'type': 'Point', 'coordinates': [-79.9443325, 32.7919285]}",45019001000,RISKBEH,LPA,CrdPrv,Physical Inactivity,45019001000
2023,SC,South Carolina,Charleston,45019,45019002004,BRFSS,Disability,Any disability among adults,%,Crude prevalence,23.2,19.4,27.2,1595,1392,"{'type': 'Point', 'coordinates': [-79.935967, 32.6590742]}",45019002004,DISABLT,DISABILITY,CrdPrv,Any Disability,45019002004
2023,SC,South Carolina,Charleston,45019,45019003200,BRFSS,Health-Related Social Needs,Lack of reliable transportation in the past 12 months among adults,%,Crude prevalence,8.5,6.8,10.2,1638,1247,"{'type': 'Point', 'coordinates': [-80.0497104, 32.899309]}",45019003200,SOCLNEED,LACKTRPT,CrdPrv,Transportation Barriers,45019003200
2023,SC,South Carolina,Charleston,45019,45019002009,BRFSS,Health Outcomes,Obesity among adults,%,Crude prevalence,30.0,26.1,34.2,4264,3543,"{'type': 'Point', 'coordinates': [-79.9218133, 32.6957389]}",45019002009,HLTHOUT,OBESITY,CrdPrv,Obesity,45019002009
2023,SC,South Carolina,Charleston,45019,45019002007,BRFSS,Health Outcomes,Arthritis among adults,%,Crude prevalence,26.3,23.6,28.9,3749,2790,"{'type': 'Point', 'coordinates': [-79.9174385, 32.7538419]}",45019002007,HLTHOUT,ARTHRITIS,CrdPrv,Arthritis,45019002007
2023,SC,South Carolina,Charleston,45019,45019004620,BRFSS,Health Outcomes,Stroke among adults,%,Crude prevalence,3.0,2.6,3.6,5455,4488,"{'type': 'Point', 'coordinates': [-79.8300457, 32.7918747]}",45019004620,HLTHOUT,STROKE,CrdPrv,Stroke,45019004620
2023,SC,South Carolina,Charleston,45019,45019002007,BRFSS,Health Risk Behaviors,Current cigarette smoking among adults,%,Crude prevalence,7.5,5.8,9.6,3749,2790,"{'type': 'Point', 'coordinates': [-79.9174385, 32.7538419]}",45019002007,RISKBEH,CSMOKING,CrdPrv,Current Cigarette Smoking,45019002007
2022,SC,South Carolina,Charleston,45019,45019002402,BRFSS,Prevention,Mammography use among women aged 50-74 years,%,Crude prevalence,76.1,70.0,81.5,2627,2095,"{'type': 'Point', 'coordinates': [-80.3516406, 32.774506]}",45019002402,PREVENT,MAMMOUSE,CrdPrv,Mammography,45019002402
2023,SC,South Carolina,Charleston,45019,45019003600,BRFSS,Health Outcomes,Depression among adults,%,Crude prevalence,23.1,20.3,26.0,2729,2375,"{'type': 'Point', 'coordinates': [-79.984269, 32.8778634]}",45019003600,HLTHOUT,DEPRESSION,CrdPrv,Depression,45019003600
